Cargo,Local,Empresa,Descricao,Link
Analista Banco de Dados Pleno - Aplicação e Produção,"São Paulo, SP",4Map,Tunning de banco de dados.Atuação em rotinas de suporte a operação (operação via banco de dados).Em resumo senso de propriedade é o que temos hoje no time de…,https://tinyurl.com/y4a3zhc4
Analista de Dados Pleno/Sênior,"São Paulo, SP",B2W Digital,"Conhecimento de álgebra linear, lógica de programação e modelagem de dados;Conhecimento em extração e processamento de dados usando SQL.",https://tinyurl.com/y6g48fxj
Analista de Banco de Dados,"Florianópolis, SC",Softplan,Conhecimento em Performance de Banco de dados;Experiência em Tunning de Query e Modelagem de Dados;Diferencial conhecer criação de dashboard em ferramentas de…,https://tinyurl.com/y2ew8723
Analista de Engenharia de Dados (Scala),"São Paulo, SP",Avanade,"Permita a descoberta de dados de questões centrais, tendências, resultados esperados e reais para humanos e máquinas que consomem os dados.",https://tinyurl.com/y6bbxpql
Analista Banco de Dados III,"Barueri, SP",Funcional Health Tech,"Atuar no suporte as demandas de Banco de dados MSSQL e PostgreSQL;A área de Data Engineering é responsável por realizar a manutenção do Data Warehouse atual,…",https://tinyurl.com/y5dljz9f
Analista de Banco de Dados,"Londrina, PR",Advise,"Definir modelos de consumo de dados, rotinas de ETL.Avaliar melhorias constante de rotinas e processos de banco de dados.Analisar a integridade de dados.",https://tinyurl.com/yxlymuvr
Analista de Inteligência de Dados Sênior,"São Paulo, SP",Porto Seguro,"Conhecimento de Banco de dados (Oracle, SQL Server, Hadoop);Vivência em manuseio de Dashboards e painéis de indicadores;Big Data e/ou Data Science.",https://tinyurl.com/y4455c6x
Analista de Infraestrutura Banco de Dados Sênior,"Brasília, DF",Central IT,Analista de Infraestrutura Banco de Dados Sênior - HOMEOFFICE.Graduação de nível superior na área de Tecnologia da Informação;O que você precisa ter?,https://tinyurl.com/yxhmtg79
Analista de Banco de Dados e Migração,"Porto Alegre, RS",eMed Tecnologia S/A,"Sólido conhecimento em linguagem SQL: definição de dados, manipulação de dados, consulta de dados, transação de dados e controle de dados.",https://tinyurl.com/y2nb3qhz
Analista de Dados Power BI júnior,"Florianópolis, SC",GeekHunter,Conhecimento em PL/SQL em banco de dados SQL Server ou Oracle ou Postgres ou qualquer outro banco de dados Conhecimento em Bancos de Dados Relacionais.,https://tinyurl.com/yxa29g5q
Analista de Dados,"Joinville, SC",ASAAS,"Domínio de consultas em bancos de dados estruturados e SQL;Trabalhar com uma grande quantidade de informações, integrando diferentes fontes de dados;",https://tinyurl.com/y2ynvadk
Analista de Dados - Qualidade e Modelagem de Dados/Data Anal...,"Belo Horizonte, MG",Hotmart,"Contribuir para a arquitetura de processamento de dados e manutenção de nossos pipelines de dados;Complementando suas atividades enquanto analista de dados,…",https://tinyurl.com/yxltwl3q
Analista Suporte a Sistemas e Banco de dados SQL,"Belo Horizonte, MG",Indra,"Noções de linguagem de programação VB6.0, VB.Regime de contratação: CLT + Beneficios + Plano de Carreira.Bons conhecimentos em SQL Server (queries) – criação…",https://tinyurl.com/y22uhfcm
Analista de Banco De Dados Sr (DBA),"Curitiba, PR",Europ Assistance,Arquitetura e modelagem de banco de dados;Troubleshooting de Performance de Banco de Dados.Administração do banco de dados;Banco de dados não relacional.,https://tinyurl.com/yy3x2bro
Analista de Linux / Banco de Dados Oracle,"Joinville, SC",Eiti Soluções,"O que esperamos de você?Administrar, configurar e prestar suporte ao banco de dados Oracle 11g (superior), backup com RMAN e EXPDP/IMPDP.O que você vai fazer?",https://tinyurl.com/y2zthp9w
Analista de Dados,"Pirapozinho, SP",ARON CONSULTORIA E TREINAMENTO EIRELI,"Migração de dados entre sistemas, análise, programação PHP básica e elaborar processos de migração de dados.Diretrizes de distanciamento social aplicadas.",https://tinyurl.com/y2z45vmz
Analista de Dados,"Pirapozinho, SP",Aron Consultoria,"Migração de dados entre sistemas, análise, programação PHP básica e elaborar processos de migração de dados.Residir na região de Presidente Prudente – SP.",https://tinyurl.com/y6dxmpw2
Analista CRM PL - Cientista de Dados,"São Paulo, SP",BANCO DAYCOVAL,"Domínio de ferramentas de Banco de dados e linguagem de programação (SQL, Python, R ).Aplicar técnicas de advanced analytics para produzir segmentações,…",https://tinyurl.com/y6q35o8s
Analista de banco de dados PL/SR - Oracle,"Joinville, SC",by seven,"Foco em sustentação de ambientes Oracle, como troubleshooting de performance, incidentes, gerenciamento e disponibilidade de banco de dados.",https://tinyurl.com/y2qgkscs
Analista De Dados OLAP - DV,"Brasília, DF",Divulga Vagas,Mínimo de 5 (cinco) anos no uso de soluções analíticas(OLAP) Microstrategy e/ou PowerBI; II – Conhecimentos curriculares comprovados de: a) Estruturação de…,https://tinyurl.com/y2wu8a99
Analista de Governança de dados II,"Florianópolis, SC",Neoway,"Desejável conhecimento de modelos de maturidade de gestão de dados como DMM, DAMA, etc.Automatizar análises em bases de dados para medir o cumprimento das…",https://tinyurl.com/y6qkomw2
ANALISTA DE BANCO DE DADOS PLENO - DV,"Brasília, DF",Divulga Vagas,"2.Atualizar e manter o modelo de dados.Compartilhamento e integração dos dados; Profissional deve ser capaz de planejar, documentar, gerenciar e integrar os…",https://tinyurl.com/yyawbe6q
Analista Pleno de Banco de Dados - Bda,"Maringá, PR",Crefaz Matriz,"Administração do ambiente de banco de dados em produção, ambiente de missão crítica, interagindo de maneira reativa e pró ativa junto às demais áreas da empresa…",https://tinyurl.com/y6opc3ff
Analista de Dados - SAP/BI,"Belo Horizonte, MG",LOCALIZA,Experiência de gerenciamento de grandes massas de dados (Big Data).O Exportação de dados a partir de ambiente SAP;Rede de benefícios e descontos Allya.,https://tinyurl.com/yyj9lmn5
Analista de Dados,"Maringá, PR",Transpanorama,Desenvolver consultas em Bancos de Dados para construções de API's e integrações;A Transpanorama tem mais de 30 anos de história e está entre as 10 maiores…,https://tinyurl.com/y622v3yn
"Analista de Dados PL ( indicadores) - São Paulo, SP","São Paulo, SP",UnitedHealth Group,"O UnitedHealth Group é um empregador de igualdade de oportunidades de emprego.Análise de resultados e repasse das informações para gerência estratégica, para…",https://tinyurl.com/y67hno5z
ANALISTA DE DADOS,"Poá, SP",REDE GERANDO FALCÕES,> Conhecimentos básicos de banco de dados relacionais e consultas em SQL;Apoiar a Diretoria na tomada de decisões estratégicas e operacionais através de…,https://tinyurl.com/y3zqpbuj
Analista De Privacidade E Proteção De Dados,"Sumaré, SP",GOOD BOM SUPERMERCADOS,Realizar análises de segurança da informação; Elaborar relatórios de impacto de proteção de dados; Demonstrar capacidade analítica e senso crítico; Interpretar…,https://tinyurl.com/yyyztwd6
Analista de Governança de Dados,"São Paulo, SP",Sami,Implementar uma política de governança de dados nível companhia.Atualmente estamos precisando de um(a) Analista de Governança de Dados com muita garra e…,https://tinyurl.com/y2xrupb5
Analista de Dados,"Rio de Janeiro, RJ",B2W Digital,Vivência em manipulação de banco de dados (SQL).Facilidade na compreensão de regras de negócio com o objetivo de propor soluções de BI;,https://tinyurl.com/y5h6juup
Analista de Dados,"São Paulo, SP",Vezzi Lapolla Mesquita Advogados,"Elaborar view de exportação de dados de acordo com o preenchimento do escritório para tratativa de dados, analisar e trabalhar com a equipe a qualidade dos…",https://tinyurl.com/y55u39tj
Analista de Dados e Negócios - Asa Sul,"Brasília, DF",None,"Responsável por orientar, avaliar e executar procedimentos da área de dados e negócios visando a conformidade de processos de faturamento e atendimento com os…",https://tinyurl.com/y53t8eav
Analista de Dados Sênior,"Porto Alegre, RS",Warren,"Conhecimento em banco de dados SQL;Precisamos de pessoas ágeis, que entendam de dados mas também de negócio, que se motivem por grandes desafios e que sejam…",https://tinyurl.com/yyw4bcy7
Analista de Banco de dados junior,"Rio de Janeiro, RJ",Fadami Soluções em TI,Ter experiência em base de dados Oracle.Ser capaz de entender procedures existentes e dar manutenção em banco de dados em geral.,https://tinyurl.com/y56yeaam
"Analista de Dados e BI- Júnior, Pleno e Sênior - Remoto","Goiânia, GO",Supera Tecnologia,Experiência com modelagem de dados e modelos dimensionais de banco de dados;Experiência com mineração de dados e análise de negócios.,https://tinyurl.com/yxve4uot
Analista de Dados,"Vila Velha, ES",Sá Cavalcante,"Atuar junto com a área de Operações e Marketing frente a análise de indicadores;Graduação completa em cursos da área de Tecnologia da Informação, Análise de…",https://tinyurl.com/y4re4bua
Analista Governança de Dados / Analista de Negócios / Proces...,"São Caetano do Sul, SP",Ewave do Brasil,Conhecimento de ferramentas de suporte à governança de dados é esperado mas não essencial;Garantir a segurança e qualidade dos dados através de políticas de…,https://tinyurl.com/yyr4wuqc
Analista de Dados / BI,"São Paulo, SP",Instituto Ayrton Senna,Conduzir projetos de soluções analíticas visando a disponibilização de dados para auxiliar na tomada de decisão e na democratização dos dados nas áreas de…,https://tinyurl.com/y2u5bd43
Analista de Dados SR,"Curitiba, PR",TAKING,Construção e manutenção de rotinas de ETL; Dashboards em Tableau e/ou DataStudio; Fontes de dados para.Levantamento de requisitos e definição de métricas e…,https://tinyurl.com/yxorsjyy
Analista de Dados JR (Data Visualization),"Curitiba, PR",MadeiraMadeira,"Entendimento das regras de negócio da área de CX, criação de datasets para uso da área de negócio e montagem de reports executivos.Seguro de Vida Tokio Marine.",https://tinyurl.com/y225548a
Analista de Dados,"Cuiabá, MT",REDEFLEX,"Acesse bases de dados e extraia dados necessários para efetuar análises, demonstrando conhecimento de linguagens de programação tais como SQL e Excel avançado.",https://tinyurl.com/y6d97qzl
Analista de Dados Sênior | Data Analyst,"São Paulo, SP",PicPay,"Você será a pessoa de dados para clientes internos e deve ser capaz de entender e planejar a entrega de todas as suas requisições no curto e médio prazos, com…",https://tinyurl.com/y2dsp28m
Analista de Dados Pleno,"São Paulo, SP",Sami,"Perfil analítico e de resolução de problemas.Experiência com Tableau, Power BI e outras ferramentas de análise de dados (SQL, ETL).",https://tinyurl.com/y2omsb94
ANALISTA DE DADOS - EM BARUERI - SP,"Barueri, SP",OEmprego,"Cursos: Administração de Empresas / Administração de Produção / Processos Gerenciais.Descrição: Coletar dados dos clientes do escritório na base sistêmica, e…",https://tinyurl.com/y55mrhl3
Analista de Inteligência de Dados,"Cascavel, PR",NUTRIPLAN,Necessário experiência como analista de dados.Obter dados de fontes primárias ou secundárias e manter bancos de dados/sistemas de dados.,https://tinyurl.com/y45hvfk8
ANALISTA DE BANCO DE DADOS SÊNIOR,"Rio de Janeiro, RJ",Connectcom,"Monitoramento tuning e gerenciamento de espaço em banco de dados.Executar as atividades de banco de dados, dentro das normas e politicas estabelecidas pela…",https://tinyurl.com/y2968t59
Analista de Privacidade de Dados Sênior,"São Paulo, SP",TOTVS,"Garantir a execução das atividades de adequação à conformidade de processos e ambientes novos ou existentes, por meio de envolvimento, orientação,…",https://tinyurl.com/y39jk2a5
[Seedz] Analista de dados- Sênior,"Belo Horizonte, MG",Seedz,Domínio de bases de dados e linguagem SQL;Atuação em projetos de dados para identificação de padrões e geração de insights;Experiência em PowerBI ou Tableau;,https://tinyurl.com/y4r72kua
Analista de Dados (Natal - RN),"Natal, RN",Brisanet,Promover a cultura de inteligência de dados com a divulgação de estudos nos clientes internos.Estamos a procura de um Analista de Dados para levar inovação à…,https://tinyurl.com/y5x7fqpm
Analista de Dados,"Belo Horizonte, MG",Robbyson,Modelagem de dados e otimização de performance em banco de dados.Desenvolvimento de reports de dados;Conhecimento em linguagem de banco de dados.,https://tinyurl.com/yyr2uy7x
Analista de Banco de Dados,"Rio de Janeiro, RJ",G&P Projetos e Sistemas,DBA com experiência de 3 anos na utilização do SGBD IDMS e DB2 com a finalidade de sustentação e administração de banco de dados de alta complexidade.,https://tinyurl.com/yyt5ensx
Analista de Redes e de Comunicação de Dados,"Serra, ES",Grupo Educavix,"Rooteamento de placas de circuito impresso.Jornada de trabalho: De Segunda-feira e Sexta-feira de 8h às 18h, com 1h de intervalo.",https://tinyurl.com/y46vkusd
Analista de Dados SR (Data Governance),"Curitiba, PR",MadeiraMadeira,"Interagir com os originadores e consumidores de dados, para analisar e resolver problemas de qualidade de dados.Habilidade de Resolução de Problemas.",https://tinyurl.com/y4nk4mk7
Analista de Dados Pleno,"São Paulo, SP",GOL Linhas Aéreas,Conhecimento de plataformas Big Data em ambiente de nuvem e banco de dados tradicionais;Buscamos profissionais com interesse em atuar com desenvolvimento …,https://tinyurl.com/y5tp52ek
Analista de Dados - Pleno,"São Paulo, SP",MAGNA SISTEMAS,"Conhecimento em ferramentas para gestão de dados (ciclo de vida de dados, replicações de dados real time, mascaramento de dados);Local de trabalho:São Paulo.",https://tinyurl.com/y23xx6pw
Analista de Dados,"Blumenau, SC",Datainfo,Efetuará a definição da arquitetura lógica de banco de dados dos softwares produzidos pela empresa de acordo com as melhores práticas de mercado;,https://tinyurl.com/yxgys4g3
Analista de Dados Power BI pleno,"Belo Horizonte, MG",GeekHunter,Experiência com ferramentas de análise de dados;Análise de dados do cliente e da empresa;Criação de modelos preditivos (desejável conhecimento em R ou outras…,https://tinyurl.com/y2rdy78a
ANALISTA DE BANCO DE DADOS LONDRINA / PR,"Londrina, PR",Advise Brasil,"Definir modelos de consumo de dados, rotinas de ETL.Avaliar melhorias constante de rotinas e processos de banco de dados.Analisar a integridade de dados.",https://tinyurl.com/y5q4z6ds
Estágio Analista de Dados 2,"Taguatinga, DF",Clínica São José,"Analise de persona e funil de vendas.Programa de subsídio educacional de até 100% para cursos relacionados.Buscamos alguém com ambição de crescimento, vontade…",https://tinyurl.com/y6e87f3f
Analista de Banco de Dados,"Rio de Janeiro, RJ",Fadami Soluções em TI,Ter experiência em base de dados Oracle.Ter experiência em base de dados MySql.Ser capaz de entender procedures existentes e dar manutenção em banco de dados…,https://tinyurl.com/y6mpgxyu
ANALISTA DE DADOS E NEGÓCIOS,"Brasília, DF",None,"Atividades: Responsável por orientar, avaliar e executar procedimentos da área de dados e negócios visando a conformidade de processos de faturamento e…",https://tinyurl.com/y5z37jwg
Analista De Dados E Negócios - Brasília - DF,"Brasília, DF",Líder e Gestão,"Atividades: Responsável por orientar, avaliar e executar procedimentos da área de Dados e Negócios visando a conformidade de processos de faturamento e…",https://tinyurl.com/y5zu6b7n
Analista de Arquitetura de TI III - Dados,"Blumenau, SC",Mazzatech,Conhecimento em ferramentas de integração com ênfase em soluções de iPaaS.EXPERIÊNCIA: Requisitos desejáveis / diferenciais: · Conhecimento em padrões de…,https://tinyurl.com/y5kjwk8s
Analista de Banco de Dados Pleno (Área de Crédito),"Maringá, PR",Trianon Consultoria em Recursos Humanos,"Análise de Banco de Dados (Preferencial).Tipo de vaga: Tempo Integral, Efetivo/CLT.Salário: a partir de R$3.070,00 por mês.",https://tinyurl.com/yygsrfhs
ANALISTA DE DADOS,"Fortaleza, CE",CMGB CONSULTORIA,"Experiência em gestão e planejamento de base de dados em ERP’s, automatização de planilhas e Extração e Análise de Dados.",https://tinyurl.com/y3f3ve5t
ANALISTA DE DADOS EPIDEMIOLÓGICOS - DV,"Brasília, DF",Divulga Vagas,"Atividades: Realizar análise de informações em saúde, leitura e codificação de prontuário, validação de banco de dados, análise de relatórios, entre outras…",https://tinyurl.com/y2d2tr5m
Analista de Migração de Dados,"Criciúma, SC",Betha Sistemas LTDA,"Realizar reconstruções de bases de dados, correções de erros e demais serviços relacionados aos bancos de dados;Tipo de vaga: Tempo Integral, Efetivo/CLT.",https://tinyurl.com/y688ngmh
ANALISTA DE SUPORTE EM ADMINISTRAÇÃO DE BANCO DE DADOS,"Fortaleza, CE",Camarmo Consultoria,"Auxiliar na criação de solução de Big Data.Realizar as atividades listadas no nível SCM de Administração de Dados;Tipo de vaga: Tempo Integral, Efetivo/CLT.",https://tinyurl.com/y3u4s9py
Analista de Dados,"São José dos Campos, SP",FOCUSNETWORKS Onlife Marketing Transformation,Capacidade de analisar dados e gerar inputs para melhorias.Responsável por tangibilizar o trabalho de dados para o cliente.Por que trabalhar na Focusnetworks?,https://tinyurl.com/y4wu4qbp
Analista de Importação e Exportação (Banco de Dados),"São José dos Campos, SP",HURMEZ SUPPLY CHAIN SOLUTIONS,"Executar as atividades de importação e exportação;Rotinas de desembaraço aduaneiro e gestão dos processos;Tipo de vaga: Tempo Integral, Efetivo/CLT.",https://tinyurl.com/yymxny2j
Analista de Dados Pl/Sr. 2,Remoto,Mazzatech,OBSERVAÇÕES: Atividades: - Suporte à integração de dados com ferramentas globais - Desenvolver uma compreensão profunda dos conjuntos de dados de negócios…,https://tinyurl.com/y5j5w5hh
Analista de Dados CA-SDM,"São Paulo, SP",Ark Solutions,Prestação de Serviços de criação de relatório no CA-SDM (CA - service desk manager).Escopo: Realizar o relatório de tempo de atuação dos grupos nos…,https://tinyurl.com/yxn9r2gn
Analista de Dados,"Recife, PE",Qubo Tecnologia e Sistemas,"É necessário 2 anos de experiência como analista de dados, com bons conhecimentos de levantamento de requisitos.Conhecimentos em levantamento de requisitos.",https://tinyurl.com/y54w5vl2
Analista de Dados Jr,"Rio de Janeiro, RJ",B2W Digital,"Apoiar na disponibilidade dos dados para tomada de decisão, monitorando a execução dos processos automatizados;Nessa equipe você terá a oportunidade de:",https://tinyurl.com/yyqaf8x8
Analista de Dados Júnior | Operações,"Vitória, ES",PicPay,"Desenvolvimento de soluções de Self - Service de dados;Você será o ""apoio"" de dados para o time de operações e dará suporte em todas etapas de cada demanda, em…",https://tinyurl.com/y57g8rt8
Analista de Dados | Comércio Exterior,"Belo Horizonte, MG",GP Cargo,Atribuições: O profissional será responsável pela realização de tratamento e lançamento de dados e insights para análise de cenário financeiro e do negócio…,https://tinyurl.com/yyfx59rb
Analista de Dados,"São Paulo, SP",WBG Retail,"Automatizar a geração de relatórios de acompanhamento das operações online, apoiando a gestão dos negócios, padronizando a forma de gestão dos dados e…",https://tinyurl.com/y47w2mfz
Analista de Dados Sênior,"Rio de Janeiro, RJ",EPIMED SOLUTIONS TECNOLOGIA DE INFORMAÇÕES MEDICAS,"Elaborar e promover padrões de nomenclatura/especificação de objetos e de modelagem, organizando e facilitando o entendimento dos modelos de dados;",https://tinyurl.com/y6bm6vow
Analista de Dados | Operações de Varejo,"Porto Alegre, RS",Lojas Renner,"Criar e manter visualizações interativas avançadas por meio da interpretação e análise de dados, integrando vários componentes de relatórios de várias fontes de…",https://tinyurl.com/y3u6du99
Analista Cientista de Dados Sr.,"São Paulo, SP",PagSeguro PagBank,Conhecimento de ferramentas de visualização de dados.Experiência com processos de ETL de dados.Trabalhar em conjunto com o engenheiro de dados e arquitetos de…,https://tinyurl.com/yxvsp3xd
Analista de Dados (Catanduva-SP),"Catanduva, SP",CerradinhoBio,"Experiência na execução de projetos de modelagem dimensional de dados, Inteligência Artificial, Machine Learning, Deep Learning, Advanced Analytics, Big Data e…",https://tinyurl.com/yxvzl9nu
Analista de Dados Arquitetura de software pleno (remoto),"Rio de Janeiro, RJ",GeekHunter,Auxiliar na definição da arquitetura lógica de banco de dados dos softwares produzidos pela empresa de acordo com as melhores práticas de mercado;,https://tinyurl.com/y2h572x3
Analista Senior - Governança de Dados,"São Paulo, SP",Ernst & Young,"Desenho da nova governança de dados por meio de roadmap de implantação dos gaps identificados no diagnóstico, definição de novos processos, área de gestão de…",https://tinyurl.com/yyjfbg33
Analista de Dados,"Alphaville, SP",Robert Half,"Experiência profissional comprovada como analista de dados ou analista de dados de negócios;Expertise técnica em modelos de dados, desenvolvimento de design de…",https://tinyurl.com/y2q2urtg
Analista de Dados Pleno,"Rio de Janeiro, RJ",B2W Digital,"Conhecimentos básicos em alguma ferramenta de visualização de dados (Power BI, Tableau, Data Studio, etc.).Apoiar na disponibilidade dos dados para tomada de…",https://tinyurl.com/y6a2ff4g
Analista de Governança de Dados,"São Paulo, SP",Blend IT,Experiência com criação de pipelines de ingestão de dados usando Google Cloud.Criar procedimentos e referências de governança de dados.,https://tinyurl.com/y5ttvkzw
ANALISTA DE SUPORTE EM ADMINISTRAÇÃO DE BANCO DE DADOS,"Fortaleza, CE",Camarmo Recrutamento e Seleção,Auxiliar na criação de solução de Big Data.Realizar as atividades listadas no nível SCM de Administração de Dados;,https://tinyurl.com/y2keqa2q
analista de planejamento/ dados,"São Paulo, SP",Randstad,"Experiência com manipulação de grande volume de dados e SQL;Manipular grandes volumes de dados e de diversos tipos, incluindo SQL.",https://tinyurl.com/yy847s2z
Analista de Privacidade de Dados,Brasil,ao³ Tech,"Conhecimento em desenvolvimento de procedimentos e diretrizes de proteção de dados pessoais;Buscamos uma pessoa, que terá um papel fundamental em apoiar nas…",https://tinyurl.com/y46uw2ag
Analista de Dados Júnior,"Porto Alegre, RS",Souto Correa Advogados,"Extração de dados em ETL's.Construção de Queries em SQL.Desenvolvimento de dashboards no Power BI.Contratação CLT, de segunda a sexta-feira, das 8h às 18h.",https://tinyurl.com/y4cz65sr
Analistas de dados,"Rio de Janeiro, RJ",B2W Digital,Experiência de mais de 3 anos com análise de dados.Experiência com análise de dados.Alguma experiência com análise de dados.Experiência com a linguagem R.,https://tinyurl.com/y5jyv3oh
Analista de Ciência de Dados - Pleno / Sênior,"São Paulo, SP",MAGNA SISTEMAS,"Experiência de integração via API REST, Banco de Dados e Barramento de Serviços.Local de trabalho:São Paulo.Experiência em desenvolvimento de API REST.",https://tinyurl.com/y3pbw4px
Analista de Controle Financeiro (Análise de dados),"São Paulo, SP",PicPay,Fornecer recomendações de melhorias e correções de produtos/processos embasado na análise de dados;Suportar a tomada de decisão através das análises de dados;,https://tinyurl.com/y3k76us6
Analista de dados Pleno,"São Paulo, SP",Petz,"Conhecimentos intermediário de bancos de dados, linguagem SQL.Apoiar as áreas de negócio no uso de dados;Traduzir dados para insights de negócio;",https://tinyurl.com/yyz5ccd7
Analista de Dados ETL,"Palhoça, SC",INVICTUS Tactical & Outdoor,"O Analista de Dados ETL será responsável pela integração, estruturação e transformação dos dados para prover a infraestrutura de análise de dados através de…",https://tinyurl.com/y26ubynr
Analista de Governança de Dados,"Brasília, DF",Datainfo,"Vivência em processos de gestão de configuração dos ativos de dados, medição e análise de eficácia das atividades de governança de dados ou Certificação CDMP …",https://tinyurl.com/y4mc8nxv
Analista de Dados Pleno,"São Paulo, SP",VINDI,Buscar novas fontes de informações e manter as bases de dados existentes;Identificar e implementar melhorias no processo de coleta e análise de dados;,https://tinyurl.com/y4zv2te2
Analista de Dados/Controladoria,"Ribeirão Preto, SP",EVENTOS RH,"Realizações de auditorias, análise de DRE, elaboração de budget, acompanhamento de Indicadores Financeiros e de Produção da empresa.",https://tinyurl.com/y5k7rves
Analista de Dados (Conteúdo e Pesquisa),"Rio de Janeiro, RJ",PEBMED,"Responder perguntas de negócio através de consultas SQL ad-hoc, bem como através de análises em planilhas e outras fontes de dados;Então essa vaga é pra você!",https://tinyurl.com/yya9dwpa
Analista de Negócios de Dados,"Campinas, SP",Ewave do Brasil,"O analista de negócios de dados facilitará as atividades de engenharia de dados com a empresa, trabalhando em estreita colaboração com as partes interessadas da…",https://tinyurl.com/y6f3d8bc
Analista de Dados - PowerBI,"Santana de Parnaíba, SP",Share RH,Realizar integração de informações em banco de dados;Conhecimento avançado em modelagem de dados e processos de ETL;Irá realizar a modelagem de dados.,https://tinyurl.com/y3lglg2l
[Zoly] Analista Engenharia de Dados,"São Paulo, SP",ZOLY,"Acompanhamento, aplicação e evolução de fluxos de processamento de dados utilizando ferramentas de automação, scripts e queries.",https://tinyurl.com/y2u9bdr8
Analista de Dados,"São Paulo, SP",IS Entrega,Implementar novas metodologias de análise de dados.Domínio em banco de dados.Além de supervisionar a implantação e armazenagem de dados.,https://tinyurl.com/y3x29vad
Analista de Dados,"Santo Cristo, RS",VIACERTA Financiadora,"Realizar modelagem de dados para análise de comportamento da carteira de crédito e sua rentabilidade, em níveis granulares (contratos, produtos, centros de…",https://tinyurl.com/yxnke722
Analista de Dados júnior,"Uberlândia, MG",GeekHunter,"Formatar/instalar periféricos em equipamentos (desktops / notebooks), Utilização de imagens para replicar em equipamentos, Reset de senha de usuários no AD,…",https://tinyurl.com/yyvzff8c
Analista de Dados Sênior (Vaga Remota),"Belo Horizonte, MG",Carreiras Méliuz,Procuramos uma pessoa analista de dados sênior para nos ajudar a escalar nossas análises e fortalecer nossa cultura data-driven.﻿Vem fazer parte do nosso time?,https://tinyurl.com/y2vzpwyn
Analista de Integração de Dados,Estado do Rio de Janeiro,Rheserva,Ao menos 3 anos de experiência em projetos de integração de dados.Estamos com oportunidades para profissionais experientes em projetos de integração e…,https://tinyurl.com/y4yj4ece
